,user,text,favorite_count,retweet_count,create_at
34,WilliamsRuto,"Interdenominational church service, Nanyuki Stadium, Laikipia County. https://t.co/NsSICjON33",389,47,2023-01-08 10:29:43+00:00
35,WilliamsRuto,"Interdenominational church service, Nanyuki Stadium, Laikipia County. https://t.co/UU6PoeVLk7",444,61,2023-01-08 08:16:48+00:00
36,WilliamsRuto,"Interdenominational church service, Nanyuki Stadium, Laikipia County. https://t.co/kQf0TpNPR3",420,73,2023-01-08 07:33:18+00:00
37,WilliamsRuto,"With Cabinet Secretaries, Council of Governors, Principal Secretaries, House Leadership, among others, discussed THE PLAN in the ongoing retreat at the Fairmont Mt Kenya Safari Club, Nyeri County. https://t.co/YhKS9spsy0",1180,152,2023-01-07 15:58:54+00:00
38,WilliamsRuto,Our singular focus is working together to deliver services to Kenyans. The ambition of our development agenda demands a seamless collaboration with the Legislature and County Governments. https://t.co/crnjnVuZBW,1132,132,2023-01-07 13:21:45+00:00
39,WilliamsRuto,Let us commit to building a strong partnership to help us achieve the desires of the people. https://t.co/TfHEuWpCKT,227,31,2023-01-07 13:11:37+00:00
40,WilliamsRuto,"Discussed the implementation of development priorities for this year in the ongoing Cabinet retreat, Fairmont Mt Kenya Safari Club, Nyeri County. https://t.co/THLw38GA8l",529,94,2023-01-06 10:06:15+00:00
41,WilliamsRuto,"We are consolidating the government’s plan for the turnaround of the economy with a focus on agriculture, value addition and manufacturing. When we work together, we will protect the interests of the people, deliver on our pledges and move the country to prosperity. https://t.co/PYLYEbkQfb",1871,209,2023-01-06 10:06:14+00:00
42,WilliamsRuto,"Cabinet retreat, Nyeri County. https://t.co/ElhmaWGy9c",585,122,2023-01-06 08:45:08+00:00
43,WilliamsRuto,"Ongoing: Cabinet Retreat at the Fairmont Mt Kenya Safari Club, Nyeri County. https://t.co/TzZiXpFWuq",2138,252,2023-01-05 15:31:38+00:00
44,WilliamsRuto,"He announced that the Government has set aside Sh3.7 billion to help in the fight against doping for the next five years.

The President made the remarks on Thursday at State House, Nairobi, when he met the President of World Athletics @sebcoe. https://t.co/bUAYnRVTXy",325,35,2023-01-05 10:23:35+00:00
45,WilliamsRuto,"They pledged to work together in creating the right frameworks for athletes to succeed.

“We will collaborate with partners, sportsmen and their contacts to tackle doping that threatens our heritage,” said President Ruto. https://t.co/1zDaxJ5teB",201,31,2023-01-05 10:09:26+00:00
46,WilliamsRuto,"PRESIDENT RUTO: WE WILL END DOPING

Kenya will not spare any efforts in the fight against doping.

President @WilliamsRuto said the Government will go an extra mile in protecting the integrity of athletics. https://t.co/G4UPQwxOEm",928,112,2023-01-05 10:09:24+00:00
47,WilliamsRuto,"Met the President of World Athletics @sebcoe at State House, Nairobi; pledged to partner in creating the right frameworks for athletes to thrive. https://t.co/2MDXf6o8gq",272,27,2023-01-05 10:01:25+00:00
48,WilliamsRuto,We thank the World Athletics for its consideration of Kenya’s situation. https://t.co/cVIbrNEo8e,299,27,2023-01-05 10:01:24+00:00
49,WilliamsRuto,"We are determined to protect Kenya's reputation and heritage as an athletics powerhouse. We are ready to work together with athletes, their contacts and partners to confront the doping menace and protect the integrity of our champions. https://t.co/NLhX8oJ5N9",727,85,2023-01-05 10:01:22+00:00
50,WilliamsRuto,"Media Engagement, State House, Nairobi https://t.co/t22B8oWBqb",828,145,2023-01-04 18:15:10+00:00
51,WilliamsRuto,"Media Engagement, State House, Nairobi https://t.co/WUPLGTAU38",843,187,2023-01-04 16:09:55+00:00
52,WilliamsRuto,"Media Engagement, State House, Nairobi https://t.co/hUdpyWRogu",977,149,2023-01-04 15:59:29+00:00
53,WilliamsRuto,"Lamu governor H.E Issa Timamy and Cabinet Secretary for Water, Sanitation and Irrigation Alice Wahome were present.",500,45,2023-01-03 15:46:05+00:00
54,WilliamsRuto,All actors to execute timeously.,648,71,2023-01-03 14:00:47+00:00
55,WilliamsRuto,"The next 10,000 acres be prepared for production in 6 months under PPP: (I) GOK to construct a dam beginning April to bring another 350,000 acres under food production; (II) GOK to work out a model for PPP food production in the 350,000 acres to be ready in 6 months.",697,99,2023-01-03 14:00:46+00:00
56,WilliamsRuto,"I direct as follows: (I) The planned subdivision into settlement parcels is revoked/cancelled; (II) Private Sector and GOK (the National Irrigation Authority) under a Public–Private Partnership (PPP) to work on the ready 10,000 acres to produce food starting with maize in Feb.",627,100,2023-01-03 14:00:44+00:00
57,WilliamsRuto,"After an extensive tour with National and County Government leaders of Galana/Kulalu National Food Security Project today,",3312,377,2023-01-03 14:00:43+00:00
